2015-12-28 06:29:42 status half-installed libaudit-common:all 1:2.4-1
2015-12-28 06:29:42 status unpacked libaudit-common:all 1:2.4-1
2015-12-28 06:29:42 status unpacked libaudit-common:all 1:2.4-1
2015-12-28 06:29:42 install libaudit1:amd64 <none> 1:2.4-1+b1
2015-12-28 06:29:42 status half-installed libaudit1:amd64 1:2.4-1+b1
2015-12-28 06:29:42 status unpacked libaudit1:amd64 1:2.4-1+b1
2015-12-28 06:29:42 status unpacked libaudit1:amd64 1:2.4-1+b1
2015-12-28 06:29:42 upgrade base-files:amd64 8+deb8u2 8+deb8u2
2015-12-28 06:29:42 status half-configured base-files:amd64 8+deb8u2
2015-12-28 06:29:42 status unpacked base-files:amd64 8+deb8u2
2015-12-28 06:29:42 status half-installed base-files:amd64 8+deb8u2
2015-12-28 06:29:42 status half-installed base-files:amd64 8+deb8u2
2015-12-28 06:29:43 status unpacked base-files:amd64 8+deb8u2
2015-12-28 06:29:43 status unpacked base-files:amd64 8+deb8u2
2015-12-28 06:29:43 upgrade base-passwd:amd64 3.5.37 3.5.37
2015-12-28 06:29:43 status half-configured base-passwd:amd64 3.5.37
2015-12-28 06:29:43 status unpacked base-passwd:amd64 3.5.37
2015-12-28 06:29:43 status half-installed base-passwd:amd64 3.5.37
2015-12-28 06:29:43 status half-installed base-passwd:amd64 3.5.37
2015-12-28 06:29:43 status unpacked base-passwd:amd64 3.5.37
2015-12-28 06:29:43 status unpacked base-passwd:amd64 3.5.37
2015-12-28 06:29:43 install bash:amd64 <none> 4.3-11+b1
2015-12-28 06:29:43 status half-installed bash:amd64 4.3-11+b1
2015-12-28 06:29:44 status unpacked bash:amd64 4.3-11+b1
2015-12-28 06:29:44 status unpacked bash:amd64 4.3-11+b1
2015-12-28 06:29:44 install libbz2-1.0:amd64 <none> 1.0.6-7+b3
2015-12-28 06:29:44 status half-installed libbz2-1.0:amd64 1.0.6-7+b3
2015-12-28 06:29:44 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2015-12-28 06:29:44 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2015-12-28 06:29:44 install libdebconfclient0:amd64 <none> 0.192
2015-12-28 06:29:44 status half-installed libdebconfclient0:amd64 0.192
2015-12-28 06:29:44 status unpacked libdebconfclient0:amd64 0.192
2015-12-28 06:29:44 status unpacked libdebconfclient0:amd64 0.192
2015-12-28 06:29:44 install coreutils:amd64 <none> 8.23-4
2015-12-28 06:29:44 status half-installed coreutils:amd64 8.23-4
2015-12-28 06:29:46 status unpacked coreutils:amd64 8.23-4
2015-12-28 06:29:46 status unpacked coreutils:amd64 8.23-4
2015-12-28 06:29:46 install libcryptsetup4:amd64 <none> 2:1.6.6-5
2015-12-28 06:29:46 status half-installed libcryptsetup4:amd64 2:1.6.6-5
2015-12-28 06:29:46 status unpacked libcryptsetup4:amd64 2:1.6.6-5
2015-12-28 06:29:46 status unpacked libcryptsetup4:amd64 2:1.6.6-5
2015-12-28 06:29:46 install dash:amd64 <none> 0.5.7-4+b1
2015-12-28 06:29:46 status half-installed dash:amd64 0.5.7-4+b1
2015-12-28 06:29:47 status unpacked dash:amd64 0.5.7-4+b1
2015-12-28 06:29:47 status unpacked dash:amd64 0.5.7-4+b1
2015-12-28 06:29:47 install libdb5.3:amd64 <none> 5.3.28-9
2015-12-28 06:29:47 status half-installed libdb5.3:amd64 5.3.28-9
2015-12-28 06:29:47 status unpacked libdb5.3:amd64 5.3.28-9
2015-12-28 06:29:47 status unpacked libdb5.3:amd64 5.3.28-9
2015-12-28 06:29:47 upgrade debconf:all 1.5.56 1.5.56
2015-12-28 06:29:47 status half-configured debconf:all 1.5.56
2015-12-28 06:29:47 status unpacked debconf:all 1.5.56
2015-12-28 06:29:47 status half-installed debconf:all 1.5.56
2015-12-28 06:29:48 status half-installed debconf:all 1.5.56
2015-12-28 06:29:48 status unpacked debconf:all 1.5.56
2015-12-28 06:29:48 status unpacked debconf:all 1.5.56
2015-12-28 06:29:48 install debconf-i18n:all <none> 1.5.56
2015-12-28 06:29:48 status half-installed debconf-i18n:all 1.5.56
2015-12-28 06:29:48 status unpacked debconf-i18n:all 1.5.56
2015-12-28 06:29:48 status unpacked debconf-i18n:all 1.5.56
2015-12-28 06:29:48 install debianutils:amd64 <none> 4.4+b1
2015-12-28 06:29:48 status half-installed debianutils:amd64 4.4+b1
2015-12-28 06:29:49 status unpacked debianutils:amd64 4.4+b1
2015-12-28 06:29:49 status unpacked debianutils:amd64 4.4+b1
2015-12-28 06:29:49 install diffutils:amd64 <none> 1:3.3-1+b1
2015-12-28 06:29:49 status half-installed diffutils:amd64 1:3.3-1+b1
2015-12-28 06:29:49 status unpacked diffutils:amd64 1:3.3-1+b1
2015-12-28 06:29:49 status unpacked diffutils:amd64 1:3.3-1+b1
2015-12-28 06:29:49 upgrade dpkg:amd64 1.17.25 1.17.25
2015-12-28 06:29:49 status half-configured dpkg:amd64 1.17.25
2015-12-28 06:29:49 status unpacked dpkg:amd64 1.17.25
2015-12-28 06:29:49 status half-installed dpkg:amd64 1.17.25
2015-12-28 06:29:50 status half-installed dpkg:amd64 1.17.25
